fromInstanceId,toInstanceId,port,protocol
CI-001,CI-005,443,https
CI-001,CI-006,443,https
CI-002,CI-005,443,https
CI-002,CI-006,443,https
CI-007,CI-016,443,https
CI-007,CI-012,8443,https
CI-003,CI-018,22,ssh
CI-004,CI-019,443,https
CI-005,CI-008,8443,https
CI-005,CI-009,8443,https
CI-006,CI-008,8443,https
CI-006,CI-009,8443,https
CI-008,CI-013,5432,postgres
CI-009,CI-013,5432,postgres
CI-010,CI-014,5432,postgres
CI-011,CI-015,5432,postgres
CI-012,CI-015,3306,mysql
CI-016,CI-008,22,ssh
CI-016,CI-009,22,ssh
CI-016,CI-010,22,ssh
CI-016,CI-011,22,ssh
CI-016,CI-012,22,ssh
CI-016,CI-017,443,https
CI-017,CI-016,443,https
CI-018,CI-008,22,ssh
CI-018,CI-010,22,ssh
CI-018,CI-013,22,ssh
CI-018,CI-014,22,ssh
CI-018,CI-016,22,ssh
CI-019,CI-008,9100,https
CI-019,CI-010,9100,https
CI-019,CI-013,9100,https
CI-020,CI-022,8443,https
CI-022,CI-021,22,ssh
