configGroupId,partId
CG-GEARING,P-CASSETTE-7S
CG-GEARING,P-CASSETTE-9S
CG-GEARING,P-CASSETTE-12S
CG-SHIFTER,P-SHIFTER-7S
CG-SHIFTER,P-SHIFTER-9S
CG-SHIFTER,P-SHIFTER-12S
CG-DERAILLEUR,P-DERAILLEUR-7S
CG-DERAILLEUR,P-DERAILLEUR-9S
CG-DERAILLEUR,P-DERAILLEUR-12S
CG-FRAME,P-FRAME-ALU
CG-FRAME,P-FRAME-CARBON
CG-FRAME,P-FRAME-STEEL
CG-FINISH,P-PAINT-BLACK
CG-FINISH,P-PAINT-RED
CG-FINISH,P-PAINT-BLUE
CG-CALIPER,P-CALIPER-MECH
CG-CALIPER,P-CALIPER-HYD
CG-RIM-26,P-RIM-26-ALLOY
CG-RIM-26,P-RIM-26-CARBON
CG-RIM-275,P-RIM-275-ALLOY
CG-RIM-275,P-RIM-275-CARBON
CG-RIM-29,P-RIM-29-ALLOY
CG-RIM-29,P-RIM-29-CARBON
CG-TIRE-26,P-TIRE-26-TRAIL
CG-TIRE-26,P-TIRE-26-MUD
CG-TIRE-275,P-TIRE-275-TRAIL
CG-TIRE-275,P-TIRE-275-MUD
CG-TIRE-29,P-TIRE-29-TRAIL
CG-TIRE-29,P-TIRE-29-MUD
