partId,description,cost,weight,material,pattern,gearSystem,color,brakeType
P-CHAIN,"Chain, 116 links",24.0,0.28,,,,,
P-PEDAL,Flat pedal,18.0,0.19,,,,,
P-CRANKSET,Crankset with 32t chainring,95.0,0.72,,,,,
P-SEATPOST,"Seatpost, 31.6 mm",32.0,0.26,,,,,
P-SADDLE,Trail saddle,45.0,0.31,,,,,
P-BRAKE-LEVER,Brake lever,28.0,0.13,,,,,
P-BRAKE-HOSE,"Brake hose, cut to length",9.0,0.06,,,,,
P-HUB,Sealed-bearing hub,42.0,0.34,,,,,
P-SPOKE-26,Stainless spoke for 26 inch wheel,0.9,0.006,,,,,
P-SPOKE-275,Stainless spoke for 27.5 inch wheel,0.9,0.0065,,,,,
P-SPOKE-29,Stainless spoke for 29 inch wheel,0.95,0.007,,,,,
P-CASSETTE-7S,"Cassette, 7 sprockets",28.0,0.31,,,7-Speed,,
P-CASSETTE-9S,"Cassette, 9 sprockets",52.0,0.27,,,9-Speed,,
P-CASSETTE-12S,"Cassette, 12 sprockets",138.0,0.24,,,12-Speed,,
P-SHIFTER-7S,"Trigger shifter, 7 speed",22.0,0.16,,,7-Speed,,
P-SHIFTER-9S,"Trigger shifter, 9 speed",41.0,0.14,,,9-Speed,,
P-SHIFTER-12S,"Trigger shifter, 12 speed",96.0,0.11,,,12-Speed,,
P-DERAILLEUR-7S,"Rear derailleur, 7 speed",26.0,0.29,,,7-Speed,,
P-DERAILLEUR-9S,"Rear derailleur, 9 speed",58.0,0.25,,,9-Speed,,
P-DERAILLEUR-12S,"Rear derailleur, 12 speed",142.0,0.21,,,12-Speed,,
P-FRAME-ALU,"Hardtail frame, aluminum",240.0,1.95,Aluminum,,,,
P-FRAME-CARBON,"Hardtail frame, carbon",780.0,1.25,Carbon,,,,
P-FRAME-STEEL,"Hardtail frame, steel",190.0,2.6,Steel,,,,
P-PAINT-BLACK,"Frame paint, black",35.0,0.12,,,,Black,
P-PAINT-RED,"Frame paint, red",42.0,0.13,,,,Red,
P-PAINT-BLUE,"Frame paint, blue",42.0,0.13,,,,Blue,
P-CALIPER-MECH,Mechanical disc caliper,24.0,0.18,,,,,Mechanical Disc
P-CALIPER-HYD,Hydraulic disc caliper,61.0,0.15,,,,,Hydraulic Disc
P-RIM-26-ALLOY,"Rim, 26 inch, alloy",38.0,0.46,Alloy,,,,
P-RIM-26-CARBON,"Rim, 26 inch, carbon",210.0,0.35,Carbon,,,,
P-RIM-275-ALLOY,"Rim, 27.5 inch, alloy",40.0,0.48,Alloy,,,,
P-RIM-275-CARBON,"Rim, 27.5 inch, carbon",220.0,0.36,Carbon,,,,
P-RIM-29-ALLOY,"Rim, 29 inch, alloy",44.0,0.52,Alloy,,,,
P-RIM-29-CARBON,"Rim, 29 inch, carbon",235.0,0.38,Carbon,,,,
P-TIRE-26-TRAIL,"Tire, 26 inch, trail tread",34.0,0.62,,Trail,,,
P-TIRE-26-MUD,"Tire, 26 inch, mud tread",37.0,0.68,,Mud,,,
P-TIRE-275-TRAIL,"Tire, 27.5 inch, trail tread",36.0,0.66,,Trail,,,
P-TIRE-275-MUD,"Tire, 27.5 inch, mud tread",39.0,0.72,,Mud,,,
P-TIRE-29-TRAIL,"Tire, 29 inch, trail tread",39.0,0.71,,Trail,,,
P-TIRE-29-MUD,"Tire, 29 inch, mud tread",42.0,0.78,,Mud,,,
