name,lat,lon,region,operator,power_kw
CS-A1-01,49.7953,2.7256,Hauts-de-France,ElectraRoute,350.0
CS-A10-01,47.1497,1.1071,Centre-Val de Loire,ElectraRoute,250.0
CS-A10-02,48.3604,2.1218,Ile-de-France,AmperGrid,150.0
CS-A10-03,47.6206,1.2299,Centre-Val de Loire,NordVolt,250.0
CS-A10-04,45.2650,-0.6054,Nouvelle-Aquitaine,VoltWay,350.0
CS-A11-01,47.9358,0.1567,Pays de la Loire,VoltWay,175.0
CS-A11-02,48.1877,0.7345,Pays de la Loire,NordVolt,200.0
CS-A13-01,49.0106,1.0674,Normandie,AmperGrid,200.0
CS-A13-02,49.1785,1.2185,Normandie,ChargeLine,250.0
CS-A13-03,49.3359,0.4939,Normandie,AmperGrid,200.0
CS-A20-01,44.7488,1.3502,Occitanie,ElectraRoute,350.0
CS-A20-02,46.4182,1.5184,Nouvelle-Aquitaine,AmperGrid,200.0
CS-A26-01,49.8605,3.6037,Hauts-de-France,VoltWay,150.0
CS-A28-01,48.8759,0.5355,Normandie,NordVolt,200.0
CS-A29-01,49.9518,1.2975,Normandie,ChargeLine,150.0
CS-A29-02,49.6570,1.0001,Normandie,VoltWay,175.0
CS-A31-01,48.0044,3.8456,Bourgogne-Franche-Comte,AmperGrid,300.0
CS-A31-02,46.5191,4.9354,Bourgogne-Franche-Comte,NordVolt,175.0
CS-A36-01,47.3052,6.4356,Bourgogne-Franche-Comte,NordVolt,250.0
CS-A4-01,48.7102,5.1434,Grand Est,ElectraRoute,350.0
CS-A4-02,48.8173,7.0478,Grand Est,NordVolt,175.0
CS-A5-01,48.6051,3.1266,Ile-de-France,VoltWay,175.0
CS-A6-01,47.4835,3.4549,Bourgogne-Franche-Comte,ElectraRoute,150.0
CS-A6-02,47.3468,4.1409,Bourgogne-Franche-Comte,ElectraRoute,150.0
CS-A61-01,43.4366,3.5853,Occitanie,VoltWay,200.0
CS-A61-02,43.6072,2.4388,Occitanie,ElectraRoute,350.0
CS-A62-01,44.1948,0.4758,Nouvelle-Aquitaine,ChargeLine,300.0
CS-A62-02,44.4934,0.0694,Nouvelle-Aquitaine,ElectraRoute,350.0
CS-A63-01,44.2491,-0.8266,Nouvelle-Aquitaine,AmperGrid,200.0
CS-A64-01,43.4486,0.8711,Occitanie,ChargeLine,175.0
CS-A65-01,44.4452,-0.5466,Nouvelle-Aquitaine,AmperGrid,175.0
CS-A7-01,44.5121,5.1067,Auvergne-Rhone-Alpes,ElectraRoute,300.0
CS-A71-01,47.4588,2.6857,Centre-Val de Loire,AmperGrid,150.0
CS-A72-01,45.6308,3.6509,Auvergne-Rhone-Alpes,ElectraRoute,350.0
CS-A75-01,44.8808,3.0824,Auvergne-Rhone-Alpes,NordVolt,350.0
CS-A77-01,47.4809,2.9517,Bourgogne-Franche-Comte,NordVolt,250.0
CS-A8-01,43.4903,6.2562,Provence-Alpes-Cote d'Azur,AmperGrid,350.0
CS-A8-02,43.4867,6.0221,Provence-Alpes-Cote d'Azur,ChargeLine,350.0
CS-A81-01,48.4798,0.2983,Normandie,VoltWay,350.0
CS-A83-01,45.9139,-1.0197,Nouvelle-Aquitaine,AmperGrid,200.0
CS-A84-01,48.6567,-1.0161,Normandie,ChargeLine,350.0
CS-A84-02,48.5692,-1.4113,Bretagne,ChargeLine,350.0
CS-A85-01,47.3142,1.3305,Centre-Val de Loire,ElectraRoute,250.0
CS-A89-01,45.2276,1.6996,Nouvelle-Aquitaine,AmperGrid,350.0
CS-A89-02,45.7700,4.0443,Auvergne-Rhone-Alpes,NordVolt,300.0
CS-A89-03,45.4559,2.2803,Nouvelle-Aquitaine,VoltWay,175.0
CS-A89-04,44.9927,0.0023,Nouvelle-Aquitaine,ElectraRoute,250.0
CS-A9-01,43.4753,4.5206,Provence-Alpes-Cote d'Azur,VoltWay,200.0
CS-AIXENPROVENCE-21,43.5346,5.4946,Provence-Alpes-Cote d'Azur,ElectraRoute,50.0
CS-AMIENS-24,49.9206,2.3039,Hauts-de-France,NordVolt,350.0
CS-ANGERS-17,47.4432,-0.5438,Pays de la Loire,NordVolt,175.0
CS-BORDEAUX-09,44.8425,-0.6059,Nouvelle-Aquitaine,NordVolt,175.0
CS-BREST-22,48.4166,-4.4949,Bretagne,ChargeLine,300.0
CS-CAEN-30,49.1578,-0.3154,Normandie,VoltWay,100.0
CS-CLERMONTFERRAND-19,45.8289,3.1273,Auvergne-Rhone-Alpes,NordVolt,175.0
CS-DIJON-16,47.3307,5.0169,Bourgogne-Franche-Comte,VoltWay,100.0
CS-GRENOBLE-15,45.1332,5.7807,Auvergne-Rhone-Alpes,NordVolt,350.0
CS-LEHAVRE-13,49.5079,0.1288,Normandie,ElectraRoute,350.0
CS-LEMANS-20,47.9747,0.1870,Pays de la Loire,AmperGrid,300.0
CS-LILLE-10,50.6092,3.0502,Hauts-de-France,VoltWay,300.0
CS-LIMOGES-25,45.7751,1.2647,Nouvelle-Aquitaine,VoltWay,300.0
CS-LYON-02,45.8203,4.7852,Auvergne-Rhone-Alpes,VoltWay,50.0
CS-MARSEILLE-03,43.3516,5.3780,Provence-Alpes-Cote d'Azur,ElectraRoute,200.0
CS-METZ-27,49.1536,6.1339,Grand Est,ChargeLine,75.0
CS-MONTPELLIER-07,43.6297,3.9234,Occitanie,NordVolt,250.0
CS-N10-01,45.2299,-0.2235,Nouvelle-Aquitaine,ElectraRoute,175.0
CS-N10-02,46.0469,0.2350,Nouvelle-Aquitaine,ElectraRoute,350.0
CS-N102-01,44.9936,3.2768,Auvergne-Rhone-Alpes,VoltWay,200.0
CS-N12-01,48.4439,-3.7441,Bretagne,AmperGrid,300.0
CS-N122-01,45.4126,2.8097,Auvergne-Rhone-Alpes,NordVolt,175.0
CS-N13-01,49.4444,-1.0855,Normandie,NordVolt,150.0
CS-N137-01,47.6894,-1.6187,Bretagne,ChargeLine,350.0
CS-N147-01,46.2021,0.8066,Nouvelle-Aquitaine,VoltWay,150.0
CS-N164-01,48.2924,-3.3378,Bretagne,AmperGrid,250.0
CS-N165-01,47.4561,-2.2052,Pays de la Loire,AmperGrid,150.0
CS-N176-01,48.7659,-2.0643,Bretagne,ElectraRoute,175.0
CS-N21-01,43.6313,0.2993,Occitanie,AmperGrid,250.0
CS-N21-02,44.5968,0.6582,Nouvelle-Aquitaine,ChargeLine,350.0
CS-N24-01,47.9200,-2.5834,Bretagne,NordVolt,250.0
CS-N4-01,48.1623,4.0494,Grand Est,AmperGrid,250.0
CS-N4-02,48.6404,6.8672,Grand Est,ChargeLine,200.0
CS-N4-03,48.5861,2.7342,Ile-de-France,ChargeLine,250.0
CS-N6-01,47.5496,4.3395,Bourgogne-Franche-Comte,AmperGrid,175.0
CS-N63-01,48.9776,6.9280,Grand Est,NordVolt,250.0
CS-N70-01,46.5698,3.7752,Auvergne-Rhone-Alpes,ChargeLine,150.0
CS-N78-01,46.8720,4.1120,Bourgogne-Franche-Comte,ChargeLine,200.0
CS-N79-01,46.4231,4.1569,Auvergne-Rhone-Alpes,ElectraRoute,200.0
CS-NANTES-06,47.2629,-1.5960,Pays de la Loire,ChargeLine,100.0
CS-NICE-05,43.7354,7.3205,Provence-Alpes-Cote d'Azur,AmperGrid,150.0
CS-NIMES-18,43.8462,4.3901,Occitanie,ElectraRoute,350.0
CS-ORLEANS-28,47.9268,1.9363,Centre-Val de Loire,VoltWay,75.0
CS-PARIS-01,48.8099,2.3289,Ile-de-France,NordVolt,150.0
CS-PERPIGNAN-26,42.7294,2.9110,Occitanie,VoltWay,350.0
CS-REIMS-12,49.2769,3.9768,Grand Est,NordVolt,150.0
CS-RENNES-11,48.0880,-1.6653,Bretagne,ChargeLine,175.0
CS-ROUEN-29,49.4992,1.1149,Normandie,ChargeLine,175.0
CS-STRASBOURG-08,48.5246,7.7754,Grand Est,NordVolt,250.0
CS-TOULON-14,43.1817,5.9845,Provence-Alpes-Cote d'Azur,ElectraRoute,250.0
CS-TOULOUSE-04,43.5958,1.4622,Occitanie,ElectraRoute,200.0
CS-TOURS-23,47.4359,0.7262,Centre-Val de Loire,ChargeLine,300.0
