from_name,to_name,road_ref,road_class,distance_km,free_flow_speed_kph,peak_speed_kph
Arras,Compiegne,A1,Motorway,112.7,130,95
Arras,Lille,A1,Motorway,49.3,130,95
Compiegne,Paris,A1,Motorway,82.7,130,95
Chatellerault,Poitiers,A10,Motorway,35.6,130,95
Chatellerault,Tours,A10,Motorway,75.4,130,95
Niort,Poitiers,A10,Motorway,78.8,130,95
Niort,Saintes,A10,Motorway,76.1,130,95
Melun,Paris,A104,Motorway,48.6,130,95
Angers,Le Mans,A11,Motorway,94.9,130,95
Angers,Nantes,A11,Motorway,92.8,130,95
Chartres,Paris,A11,Motorway,90.8,130,95
Evreux,Paris,A13,Motorway,104.1,130,95
Evreux,Rouen,A13,Motorway,53.9,130,95
Paris,Rouen,A13,Express,135.0,130,105
Caen,Le Havre,A131,Motorway,56.8,130,95
Dieppe,Rouen,A150,Motorway,61.9,130,95
Abbeville,Amiens,A16,Motorway,47.1,130,95
Abbeville,Calais,A16,Motorway,109.1,130,95
Amiens,Beauvais,A16,Motorway,62.6,130,95
Beauvais,Paris,A16,Motorway,77.4,130,95
Montargis,Orleans,A19,Motorway,72.2,130,95
Montargis,Sens,A19,Motorway,53.8,130,95
Sens,Troyes,A19,Motorway,69.2,130,95
Cambrai,Valenciennes,A2,Motorway,33.3,130,95
Brive-la-Gaillarde,Cahors,A20,Motorway,92.1,130,95
Brive-la-Gaillarde,Limoges,A20,Motorway,90.5,130,95
Cahors,Montauban,A20,Motorway,55.9,130,95
Chateauroux,Vierzon,A20,Motorway,62.8,130,95
Montauban,Toulouse,A20,Motorway,54.0,130,95
Arras,Calais,A26,Motorway,113.6,130,95
Arras,Cambrai,A26,Motorway,40.6,130,95
Cambrai,Saint-Quentin,A26,Motorway,42.5,130,95
Chalons-en-Champagne,Troyes,A26,Motorway,88.5,130,95
Laon,Reims,A26,Motorway,52.2,130,95
Laon,Saint-Quentin,A26,Motorway,46.2,130,95
Alencon,Le Mans,A28,Motorway,55.5,130,95
Le Mans,Tours,A28,Motorway,89.5,130,95
Amiens,Saint-Quentin,A29,Motorway,82.6,130,95
Chaumont,Nancy,A31,Motorway,116.7,130,95
Metz,Nancy,A31,Motorway,55.1,130,95
Metz,Thionville,A31,Motorway,30.8,130,95
Charleville-Mezieres,Reims,A34,Motorway,87.6,130,95
Colmar,Mulhouse,A35,Motorway,42.4,130,95
Colmar,Strasbourg,A35,Motorway,72.2,130,95
Haguenau,Strasbourg,A35,Motorway,31.4,130,95
Mulhouse,Saint-Louis,A35,Motorway,28.7,130,95
Belfort,Besancon,A36,Motorway,89.5,130,95
Belfort,Mulhouse,A36,Motorway,43.6,130,95
Besancon,Dole,A36,Motorway,50.4,130,95
Chalon-sur-Saone,Dole,A36,Motorway,69.1,130,95
Bourg-en-Bresse,Lons-le-Saunier,A39,Motorway,67.3,130,95
Dijon,Dole,A39,Motorway,49.2,130,95
Dole,Lons-le-Saunier,A39,Motorway,54.2,130,95
Chalons-en-Champagne,Reims,A4,Motorway,47.9,130,95
Chalons-en-Champagne,Verdun,A4,Motorway,90.1,130,95
Meaux,Paris,A4,Motorway,46.6,130,95
Meaux,Reims,A4,Motorway,104.7,130,95
Metz,Verdun,A4,Motorway,67.1,130,95
Paris,Reims,A4,Express,145.0,130,105
Annemasse,Bourg-en-Bresse,A40,Motorway,90.2,130,95
Bourg-en-Bresse,Macon,A40,Motorway,37.8,130,95
Annecy,Annemasse,A41,Motorway,39.2,130,95
Annecy,Chambery,A41,Motorway,47.2,130,95
Chambery,Grenoble,A41,Motorway,51.6,130,95
Albertville,Chambery,A43,Motorway,45.2,130,95
Chambery,Lyon,A43,Motorway,100.9,130,95
Lyon,Saint-Etienne,A47,Motorway,58.2,130,95
