claimID,date,amountClaimed
CL-000001,2024-01-25,1447
CL-000002,2025-09-30,12630
CL-000003,2025-12-19,7849
CL-000004,2024-03-29,10583
CL-000005,2024-07-01,994
CL-000006,2025-12-21,9657
CL-000007,2024-05-01,7988
CL-000008,2024-03-18,8428
CL-000009,2024-02-26,51208
CL-000010,2025-11-19,59602
CL-000011,2025-01-18,26031
CL-000012,2025-08-29,4541
CL-000013,2025-09-23,6833
CL-000014,2025-04-27,2141
CL-000015,2024-12-06,13224
CL-000016,2024-05-24,48922
CL-000017,2025-04-18,6831
CL-000018,2024-12-05,1512
CL-000019,2025-10-03,8577
CL-000020,2024-04-21,1370
CL-000021,2025-09-19,2230
CL-000022,2024-12-07,2705
CL-000023,2024-12-13,4851
CL-000024,2025-06-14,7322
CL-000025,2024-12-22,14651
CL-000026,2024-12-02,2145
CL-000027,2024-05-20,3340
CL-000028,2024-09-15,4529
CL-000029,2025-05-30,7909
CL-000030,2025-03-02,11526
CL-000031,2025-11-28,5173
CL-000032,2025-09-10,3353
CL-000033,2025-06-08,10127
CL-000034,2025-02-25,9512
CL-000035,2025-03-01,10093
CL-000036,2024-09-04,958
CL-000037,2025-06-25,6225
CL-000038,2024-06-09,33001
CL-000039,2025-08-24,8347
CL-000040,2025-04-15,10937
CL-000041,2025-08-15,8014
CL-000042,2025-09-23,9956
CL-000043,2024-09-16,11564
CL-000044,2025-03-08,6901
CL-000045,2025-07-31,3586
CL-000046,2025-10-14,10125
CL-000047,2024-07-10,6970
CL-000048,2024-01-11,6436
CL-000049,2024-11-09,8178
CL-000050,2024-09-12,879
CL-000051,2024-02-27,11767
CL-000052,2025-07-16,5352
CL-000053,2024-03-08,4000
CL-000054,2024-06-03,3287
CL-000055,2025-11-17,9315
CL-000056,2024-07-20,4142
CL-000057,2025-08-12,10121
CL-000058,2025-11-08,5925
CL-000059,2025-11-27,10693
CL-000060,2024-06-14,13980
CL-000061,2024-04-14,8887
CL-000062,2024-08-22,12559
CL-000063,2024-11-25,7452
CL-000064,2024-07-08,14040
CL-000065,2024-05-25,22408
CL-000066,2024-07-13,48327
CL-000067,2025-07-06,11129
CL-000068,2025-12-06,11656
CL-000069,2025-12-31,9452
CL-000070,2025-07-22,49431
CL-000071,2025-09-15,11997
CL-000072,2025-11-17,8879
CL-000073,2025-04-24,8129
CL-000074,2025-12-07,9740
CL-000075,2025-09-06,8175
CL-000076,2025-08-15,1905
CL-000077,2024-02-12,7694
CL-000078,2024-09-08,10795
CL-000079,2024-02-24,5326
CL-000080,2024-01-24,9261
CL-000081,2024-01-27,7122
CL-000082,2024-02-11,4948
CL-000083,2025-02-07,9129
CL-000084,2024-01-21,50471
CL-000085,2024-09-29,7794
CL-000086,2025-08-03,6761
CL-000087,2025-11-02,40543
CL-000088,2025-03-17,45888
CL-000089,2024-08-11,5255
CL-000090,2025-03-24,6082
CL-000091,2025-10-30,2860
CL-000092,2024-01-25,10677
CL-000093,2025-05-09,2374
CL-000094,2025-09-07,4860
CL-000095,2024-04-20,6589
CL-000096,2025-04-30,7542
CL-000097,2025-07-23,5833
CL-000098,2024-08-14,7059
CL-000099,2024-02-14,12995
CL-000100,2024-03-23,11031
CL-000101,2025-01-14,14385
CL-000102,2025-03-23,2275
CL-000103,2024-10-18,2666
CL-000104,2025-09-16,1286
CL-000105,2024-04-21,2899
CL-000106,2025-09-24,14482
CL-000107,2024-04-02,6507
CL-000108,2025-03-17,6761
CL-000109,2025-01-13,12718
CL-000110,2025-10-15,3128
CL-000111,2024-12-30,11325
CL-000112,2025-02-17,9677
CL-000113,2025-01-06,10358
CL-000114,2024-01-03,29091
CL-000115,2024-02-27,8951
CL-000116,2025-04-28,8252
CL-000117,2025-09-08,6045
CL-000118,2024-10-10,14808
CL-000119,2024-05-02,9928
CL-000120,2025-01-12,2475
CL-000121,2025-05-08,4895
CL-000122,2024-07-21,4672
CL-000123,2025-02-21,6342
CL-000124,2025-10-17,8234
CL-000125,2024-10-21,37151
CL-000126,2024-06-25,2000
CL-000127,2025-03-27,11498
CL-000128,2025-09-17,1648
CL-000129,2024-07-30,8309
CL-000130,2024-09-10,1564
CL-000131,2025-05-08,7843
CL-000132,2025-11-05,12480
CL-000133,2024-09-21,14177
CL-000134,2025-04-02,12694
CL-000135,2025-06-03,931
CL-000136,2024-11-02,8089
CL-000137,2025-08-09,9785
CL-000138,2025-09-03,4512
CL-000139,2025-01-22,2938
CL-000140,2025-04-16,13655
CL-000141,2024-06-13,7810
CL-000142,2025-08-27,14686
CL-000143,2025-07-23,2178
CL-000144,2025-05-23,6609
CL-000145,2024-03-08,2044
CL-000146,2024-05-07,11456
CL-000147,2024-08-22,2008
CL-000148,2025-12-26,7041
CL-000149,2024-02-06,7102
CL-000150,2025-01-26,9095
CL-000151,2025-10-27,1128
CL-000152,2025-10-22,2458
CL-000153,2024-12-16,13665
CL-000154,2024-09-01,1296
CL-000155,2025-04-11,26948
CL-000156,2025-09-24,12999
CL-000157,2024-01-21,3784
CL-000158,2025-03-02,56110
CL-000159,2025-12-12,4079
CL-000160,2024-05-18,1049
CL-000161,2024-11-11,35730
CL-000162,2025-02-26,1900
CL-000163,2025-03-28,28302
CL-000164,2025-04-13,43678
CL-000165,2024-02-08,833
CL-000166,2024-06-25,1501
CL-000167,2025-02-06,14750
CL-000168,2024-06-13,11375
CL-000169,2024-06-21,41920
CL-000170,2024-02-02,10751
CL-000171,2025-02-18,11201
CL-000172,2024-11-18,11168
CL-000173,2025-08-08,6324
CL-000174,2024-03-23,9871
CL-000175,2025-02-10,8630
CL-000176,2025-08-14,9634
CL-000177,2025-07-30,4489
CL-000178,2025-07-07,26804
CL-000179,2024-07-18,3435
CL-000180,2025-06-19,1995
CL-000181,2024-05-23,10485
CL-000182,2025-07-10,5620
CL-000183,2025-05-29,4316
CL-000184,2025-10-07,3248
CL-000185,2025-08-06,42794
CL-000186,2024-11-23,13166
CL-000187,2025-11-16,48885
CL-000188,2025-12-03,4890
CL-000189,2024-04-12,43550
CL-000190,2025-12-16,11676
CL-000191,2024-04-17,25277
CL-000192,2025-04-16,12165
CL-000193,2025-04-05,6525
CL-000194,2024-09-22,1613
CL-000195,2024-05-18,1597
CL-000196,2025-06-07,10217
CL-000197,2024-01-31,5967
CL-000198,2025-10-05,6980
CL-000199,2025-05-23,2667
CL-000200,2024-02-01,860
CL-000201,2025-12-04,7225
CL-000202,2025-07-20,10205
CL-000203,2025-05-20,53535
CL-000204,2024-01-21,9987
CL-000205,2025-04-27,42730
CL-000206,2025-12-26,14381
CL-000207,2024-12-05,5331
CL-000208,2024-05-31,3794
CL-000209,2024-07-26,6273
CL-000210,2025-07-28,5638
CL-000211,2025-02-17,9290
CL-000212,2025-03-15,3637
CL-000213,2024-01-05,13017
CL-000214,2025-08-05,5191
CL-000215,2025-03-30,14124
CL-000216,2024-03-25,14544
CL-000217,2025-07-15,7917
CL-000218,2024-11-22,56483
CL-000219,2024-01-19,7724
CL-000220,2025-08-17,6682
CL-000221,2024-10-30,4756
CL-000222,2025-12-22,4254
CL-000223,2025-12-31,2317
CL-000224,2024-06-26,10529
CL-000225,2025-01-17,6479
