controlId,obligationId,coveragePercent
CTL-001,OBL-077,100
CTL-001,OBL-007,100
CTL-003,OBL-075,100
CTL-003,OBL-019,100
CTL-003,OBL-071,100
CTL-005,OBL-046,100
CTL-005,OBL-027,100
CTL-030,OBL-049,100
CTL-030,OBL-005,100
CTL-030,OBL-008,100
CTL-055,OBL-013,100
CTL-055,OBL-057,100
CTL-090,OBL-037,100
CTL-090,OBL-067,100
CTL-090,OBL-058,100
CTL-002,OBL-001,60
CTL-004,OBL-001,40
CTL-006,OBL-002,60
CTL-007,OBL-003,100
CTL-083,OBL-011,45
CTL-038,OBL-030,70
CTL-064,OBL-055,25
CTL-073,OBL-072,80
CTL-068,OBL-004,40
CTL-003,OBL-004,60
CTL-091,OBL-006,40
CTL-111,OBL-006,60
CTL-035,OBL-009,40
CTL-095,OBL-009,60
CTL-014,OBL-010,60
CTL-069,OBL-010,40
CTL-033,OBL-012,100
CTL-082,OBL-014,50
CTL-052,OBL-014,50
CTL-115,OBL-015,50
CTL-095,OBL-015,50
CTL-059,OBL-016,100
CTL-053,OBL-017,100
CTL-052,OBL-018,100
CTL-061,OBL-021,100
CTL-089,OBL-022,100
CTL-062,OBL-023,60
CTL-042,OBL-023,40
CTL-058,OBL-024,60
CTL-103,OBL-024,40
CTL-092,OBL-025,40
CTL-117,OBL-025,50
CTL-097,OBL-025,10
CTL-004,OBL-026,50
CTL-069,OBL-026,50
CTL-020,OBL-028,100
CTL-097,OBL-029,60
CTL-017,OBL-029,40
CTL-113,OBL-031,60
CTL-028,OBL-031,40
CTL-084,OBL-032,100
CTL-001,OBL-033,60
CTL-111,OBL-033,40
CTL-043,OBL-034,100
CTL-013,OBL-035,100
CTL-101,OBL-036,100
CTL-100,OBL-038,40
CTL-035,OBL-038,60
CTL-049,OBL-039,40
CTL-114,OBL-039,60
CTL-082,OBL-040,40
CTL-102,OBL-040,60
CTL-083,OBL-042,60
CTL-113,OBL-042,40
CTL-112,OBL-043,50
CTL-107,OBL-043,50
CTL-082,OBL-044,100
CTL-005,OBL-045,50
CTL-010,OBL-045,50
CTL-071,OBL-047,40
CTL-026,OBL-047,50
CTL-081,OBL-047,10
CTL-032,OBL-048,40
CTL-037,OBL-048,60
CTL-071,OBL-050,60
CTL-036,OBL-050,40
CTL-009,OBL-051,40
CTL-054,OBL-051,40
CTL-049,OBL-051,20
CTL-020,OBL-052,100
CTL-018,OBL-053,40
CTL-023,OBL-053,60
CTL-075,OBL-054,50
CTL-100,OBL-054,50
CTL-052,OBL-056,40
CTL-027,OBL-056,40
CTL-012,OBL-056,20
CTL-047,OBL-059,100
CTL-055,OBL-060,40
CTL-115,OBL-060,60
CTL-036,OBL-061,100
CTL-099,OBL-062,40
CTL-114,OBL-062,60
CTL-054,OBL-064,60
CTL-039,OBL-064,40
CTL-085,OBL-065,100
CTL-001,OBL-066,100
CTL-081,OBL-068,50
CTL-106,OBL-068,40
CTL-046,OBL-068,10
CTL-059,OBL-069,50
CTL-044,OBL-069,50
CTL-087,OBL-070,100
CTL-092,OBL-073,50
CTL-072,OBL-073,50
CTL-067,OBL-074,100
CTL-073,OBL-076,40
CTL-093,OBL-076,50
CTL-063,OBL-076,10
CTL-084,OBL-078,100
CTL-088,OBL-079,100
CTL-118,OBL-080,100
CTL-078,OBL-081,50
CTL-058,OBL-081,50
CTL-050,OBL-082,40
CTL-060,OBL-082,50
CTL-070,OBL-082,10
CTL-042,OBL-083,40
CTL-117,OBL-083,60
CTL-046,OBL-084,100
CTL-040,OBL-085,60
CTL-060,OBL-085,40
CTL-105,OBL-086,50
CTL-080,OBL-086,50
CTL-100,OBL-087,100
CTL-001,OBL-088,100
CTL-045,OBL-089,100
CTL-021,OBL-090,100
