citingSectionId,citedSectionId,subsection
MIFIDPRU 4.1,MIFIDPRU 4.12,MIFIDPRU 4.12.2R
MIFIDPRU 7.2,MIFIDPRU 4.12,MIFIDPRU 4.12.3R
SYSC 4.1,MIFIDPRU 4.12,MIFIDPRU 4.12.4R
COBS 4.2,MIFIDPRU 4.12,MIFIDPRU 4.12.5R
SYSC 5,SYSC 5.1,SYSC 5.1.3R
SYSC 5.1,SYSC 5,SYSC 5.7R
SYSC 5,SYSC 5.1.1,SYSC 5.1.1.2R
SYSC 5.1.1,SYSC 5,SYSC 5.5R
SYSC 5,SYSC 5.2,SYSC 5.2.6R
SYSC 5.2,SYSC 5,SYSC 5.9R
SYSC 5,SYSC 5.2.1,SYSC 5.2.1.7R
SYSC 5.2.1,SYSC 5,SYSC 5.9R
SYSC 5.1,SYSC 5.1.1,SYSC 5.1.1.4R
SYSC 5.1.1,SYSC 5.1,SYSC 5.1.4R
SYSC 5.1,SYSC 5.2,SYSC 5.2.2R
SYSC 5.2,SYSC 5.1,SYSC 5.1.6R
SYSC 5.1,SYSC 5.2.1,SYSC 5.2.1.9R
SYSC 5.2.1,SYSC 5.1,SYSC 5.1.9R
SYSC 5.1.1,SYSC 5.2,SYSC 5.2.6R
SYSC 5.2,SYSC 5.1.1,SYSC 5.1.1.4R
SYSC 5.1.1,SYSC 5.2.1,SYSC 5.2.1.9R
SYSC 5.2.1,SYSC 5.1.1,SYSC 5.1.1.4R
SYSC 5.2,SYSC 5.2.1,SYSC 5.2.1.2R
SYSC 5.2.1,SYSC 5.2,SYSC 5.2.1R
MIFIDPRU 1.1,SYSC 5.1.1,SYSC 5.1.1.1R
MIFIDPRU 1.3,EMIR 4.1,EMIR 4.1.2R
MIFIDPRU 1.3,MIFIDPRU 2.2,MIFIDPRU 2.2.8R
MIFIDPRU 2.1,MIFIDPRU 1.1.1,MIFIDPRU 1.1.1.5R
MIFIDPRU 2.2,EMIR 5.4.1,EMIR 5.4.1.6R
MIFIDPRU 2.2.1,DORA 3.2,DORA 3.2.7R
MIFIDPRU 2.2.1,MIFIDPRU 8.1.1,MIFIDPRU 8.1.1.9R
MIFIDPRU 4.2,MIFIDPRU 4.1,MIFIDPRU 4.1.3R
MIFIDPRU 5.2,SYSC 3.4,SYSC 3.4.6R
MIFIDPRU 7.1,EMIR 1.3,EMIR 1.3.2R
MIFIDPRU 7.1,COBS 5.2,COBS 5.2.4R
MIFIDPRU 7.2.1,COBS 5.1,COBS 5.1.5R
MIFIDPRU 8.1.1,COBS 3.1.1,COBS 3.1.1.2R
MIFIDPRU 8.3,DORA 2.2.1,DORA 2.2.1.2R
SYSC 1.2,COBS 3.1,COBS 3.1.9R
SYSC 1.4,DORA 2.4,DORA 2.4.2R
SYSC 1.4,DORA 2.2.1,DORA 2.2.1.3R
SYSC 4.1,DORA 2.2,DORA 2.2.4R
SYSC 4.2,DORA 5.1,DORA 5.1.1R
SYSC 5.1.1,COBS 3.4,COBS 3.4.7R
SYSC 5.2.1,COBS 3.1,COBS 3.1.2R
SYSC 5.3.1,DORA 1.2,DORA 1.2.7R
SYSC 6.2,MIFIDPRU 2.2.1,MIFIDPRU 2.2.1.9R
COBS 1.1,EMIR 2.1,EMIR 2.1.5R
COBS 1.2,EMIR 3.2,EMIR 3.2.8R
COBS 1.3,SYSC 4.1,SYSC 4.1.7R
COBS 1.4,MIFIDPRU 5.1,MIFIDPRU 5.1.4R
COBS 1.4,SYSC 5.1,SYSC 5.1.1R
COBS 2.1,DORA 1.3,DORA 1.3.7R
COBS 2.2,SYSC 4.2,SYSC 4.2.6R
COBS 3.3,COBS 5.2,COBS 5.2.2R
EMIR 1.1,EMIR 5.2,EMIR 5.2.5R
DORA 1.3,MIFIDPRU 2.1,MIFIDPRU 2.1.6R
DORA 2.3,DORA 5.2,DORA 5.2.8R
DORA 3.2,COBS 5.3,COBS 5.3.8R
DORA 4.1,SYSC 6.2,SYSC 6.2.9R
DORA 4.1,EMIR 4.1.1,EMIR 4.1.1.5R
DORA 4.2,DORA 3.1.1,DORA 3.1.1.3R
DORA 4.3,DORA 1.2,DORA 1.2.5R
DORA 4.4,EMIR 4.3,EMIR 4.3.2R
DORA 5.2,DORA 2.2.1,DORA 2.2.1.9R
DORA 5.3,COBS 2.3,COBS 2.3.9R
DORA 5.3,EMIR 4.3,EMIR 4.3.4R
MIFIDPRU 4.12,DORA 2.2,DORA 2.2.9R
MIFIDPRU 4.12,DORA 2.2.1,DORA 2.2.1.3R
MIFIDPRU 4.12.2,SYSC 1.3,SYSC 1.3.4R
MIFIDPRU 4.12.2,COBS 3.4,COBS 3.4.6R
