sectionId,title,lastUpdated,standardId,parentSectionId
MIFIDPRU 1,MIFIDPRU 1 Application and purpose,2025-02-01T00:00:00Z,MIFIDPRU,
MIFIDPRU 1.1,MIFIDPRU 1.1 Purpose,2025-05-19T00:00:00Z,,MIFIDPRU 1
MIFIDPRU 1.2,MIFIDPRU 1.2 Notification requirements,2023-03-28T00:00:00Z,,MIFIDPRU 1
MIFIDPRU 1.2.1,MIFIDPRU 1.2.1 Notification requirements — detailed provisions,2026-03-17T00:00:00Z,,MIFIDPRU 1.2
MIFIDPRU 2,"MIFIDPRU 2 Systems, governance and risk management",2023-12-22T00:00:00Z,MIFIDPRU,
MIFIDPRU 2.1,MIFIDPRU 2.1 Record-keeping,2022-04-30T00:00:00Z,,MIFIDPRU 2
MIFIDPRU 2.1.1,MIFIDPRU 2.1.1 Record-keeping — detailed provisions,2022-06-26T00:00:00Z,,MIFIDPRU 2.1
MIFIDPRU 2.2,MIFIDPRU 2.2 Group application,2021-07-14T00:00:00Z,,MIFIDPRU 2
MIFIDPRU 2.3,MIFIDPRU 2.3 Reporting timetable,2023-08-20T00:00:00Z,,MIFIDPRU 2
MIFIDPRU 2.4,MIFIDPRU 2.4 General requirements,2023-09-28T00:00:00Z,,MIFIDPRU 2
MIFIDPRU 3,MIFIDPRU 3 Own funds,2024-09-14T00:00:00Z,MIFIDPRU,
MIFIDPRU 3.1,MIFIDPRU 3.1 Application,2024-03-31T00:00:00Z,,MIFIDPRU 3
MIFIDPRU 3.2,MIFIDPRU 3.2 Purpose,2023-11-04T00:00:00Z,,MIFIDPRU 3
MIFIDPRU 3.2.1,MIFIDPRU 3.2.1 Purpose — detailed provisions,2023-06-27T00:00:00Z,,MIFIDPRU 3.2
MIFIDPRU 3.3,MIFIDPRU 3.3 Governance and oversight,2021-04-13T00:00:00Z,,MIFIDPRU 3
MIFIDPRU 4,MIFIDPRU 4 Own funds requirements,2022-05-15T00:00:00Z,MIFIDPRU,
MIFIDPRU 4.1,MIFIDPRU 4.1 Governance and oversight,2024-04-01T00:00:00Z,,MIFIDPRU 4
MIFIDPRU 4.2,MIFIDPRU 4.2 Exemptions,2023-08-19T00:00:00Z,,MIFIDPRU 4
MIFIDPRU 5,MIFIDPRU 5 Concentration risk,2020-09-18T00:00:00Z,MIFIDPRU,
MIFIDPRU 5.1,MIFIDPRU 5.1 Transitional provisions,2023-07-16T00:00:00Z,,MIFIDPRU 5
MIFIDPRU 5.1.1,MIFIDPRU 5.1.1 Transitional provisions — detailed provisions,2022-08-17T00:00:00Z,,MIFIDPRU 5.1
MIFIDPRU 5.2,MIFIDPRU 5.2 Reporting timetable,2024-12-05T00:00:00Z,,MIFIDPRU 5
MIFIDPRU 5.2.1,MIFIDPRU 5.2.1 Reporting timetable — detailed provisions,2025-12-09T00:00:00Z,,MIFIDPRU 5.2
MIFIDPRU 5.3,MIFIDPRU 5.3 Purpose,2023-09-24T00:00:00Z,,MIFIDPRU 5
MIFIDPRU 5.4,MIFIDPRU 5.4 Notification requirements,2022-11-02T00:00:00Z,,MIFIDPRU 5
MIFIDPRU 6,MIFIDPRU 6 Liquidity,2021-03-28T00:00:00Z,MIFIDPRU,
MIFIDPRU 6.1,MIFIDPRU 6.1 Calculation,2026-03-25T00:00:00Z,,MIFIDPRU 6
MIFIDPRU 6.1.1,MIFIDPRU 6.1.1 Calculation — detailed provisions,2022-04-30T00:00:00Z,,MIFIDPRU 6.1
MIFIDPRU 6.2,MIFIDPRU 6.2 Record-keeping,2025-07-13T00:00:00Z,,MIFIDPRU 6
MIFIDPRU 6.3,MIFIDPRU 6.3 Transitional provisions,2021-08-01T00:00:00Z,,MIFIDPRU 6
MIFIDPRU 6.3.1,MIFIDPRU 6.3.1 Transitional provisions — detailed provisions,2026-01-28T00:00:00Z,,MIFIDPRU 6.3
MIFIDPRU 6.4,MIFIDPRU 6.4 Reporting timetable,2025-04-11T00:00:00Z,,MIFIDPRU 6
MIFIDPRU 6.4.1,MIFIDPRU 6.4.1 Reporting timetable — detailed provisions,2023-06-23T00:00:00Z,,MIFIDPRU 6.4
MIFIDPRU 7,MIFIDPRU 7 Risk management and the ICARA process,2022-12-02T00:00:00Z,MIFIDPRU,
MIFIDPRU 7.1,MIFIDPRU 7.1 Reporting timetable,2023-11-05T00:00:00Z,,MIFIDPRU 7
MIFIDPRU 7.2,MIFIDPRU 7.2 General requirements,2021-03-05T00:00:00Z,,MIFIDPRU 7
MIFIDPRU 8,MIFIDPRU 8 Disclosure,2023-07-17T00:00:00Z,MIFIDPRU,
MIFIDPRU 8.1,MIFIDPRU 8.1 Purpose,2025-12-17T00:00:00Z,,MIFIDPRU 8
MIFIDPRU 8.1.1,MIFIDPRU 8.1.1 Purpose — detailed provisions,2024-07-09T00:00:00Z,,MIFIDPRU 8.1
MIFIDPRU 8.2,MIFIDPRU 8.2 Governance and oversight,2024-09-13T00:00:00Z,,MIFIDPRU 8
MIFIDPRU 8.3,MIFIDPRU 8.3 Exemptions,2024-05-15T00:00:00Z,,MIFIDPRU 8
MIFIDPRU 9,MIFIDPRU 9 Regulatory reporting,2024-06-11T00:00:00Z,MIFIDPRU,
MIFIDPRU 9.1,MIFIDPRU 9.1 Exemptions,2025-04-04T00:00:00Z,,MIFIDPRU 9
MIFIDPRU 9.2,MIFIDPRU 9.2 Group application,2023-06-01T00:00:00Z,,MIFIDPRU 9
