serviceId,obligationId
SVC-001,OBL-001
SVC-001,OBL-002
SVC-002,OBL-001
SVC-002,OBL-002
SVC-014,OBL-001
SVC-014,OBL-002
SVC-014,OBL-003
SVC-001,OBL-062
SVC-001,OBL-053
SVC-001,OBL-037
SVC-001,OBL-068
SVC-002,OBL-004
SVC-002,OBL-042
SVC-003,OBL-071
SVC-004,OBL-071
SVC-005,OBL-081
SVC-005,OBL-061
SVC-006,OBL-072
SVC-006,OBL-090
SVC-007,OBL-006
SVC-007,OBL-083
SVC-007,OBL-056
SVC-008,OBL-089
SVC-008,OBL-049
SVC-008,OBL-071
SVC-009,OBL-069
SVC-009,OBL-052
SVC-009,OBL-055
SVC-010,OBL-005
SVC-010,OBL-063
SVC-011,OBL-041
SVC-011,OBL-069
SVC-012,OBL-071
SVC-012,OBL-036
SVC-013,OBL-075
SVC-013,OBL-020
SVC-013,OBL-086
SVC-014,OBL-079
SVC-014,OBL-080
SVC-014,OBL-008
SVC-014,OBL-009
SVC-015,OBL-075
SVC-016,OBL-021
SVC-016,OBL-027
SVC-016,OBL-050
SVC-016,OBL-053
SVC-017,OBL-082
SVC-017,OBL-053
SVC-018,OBL-029
SVC-018,OBL-045
SVC-018,OBL-047
SVC-019,OBL-011
SVC-020,OBL-081
SVC-020,OBL-078
SVC-021,OBL-015
SVC-021,OBL-018
SVC-021,OBL-011
SVC-022,OBL-074
SVC-023,OBL-081
SVC-023,OBL-038
SVC-023,OBL-055
SVC-024,OBL-066
SVC-024,OBL-062
SVC-025,OBL-063
SVC-025,OBL-043
SVC-025,OBL-066
SVC-026,OBL-004
SVC-026,OBL-060
SVC-026,OBL-054
SVC-027,OBL-017
SVC-027,OBL-081
SVC-027,OBL-008
SVC-027,OBL-052
SVC-028,OBL-090
SVC-028,OBL-075
SVC-029,OBL-021
SVC-029,OBL-049
SVC-029,OBL-073
SVC-030,OBL-082
SVC-030,OBL-011
SVC-030,OBL-027
SVC-030,OBL-021
