serviceId,systemId
SVC-001,SYS-004
SVC-004,SYS-001
SVC-014,SYS-001
SVC-015,SYS-001
SVC-016,SYS-001
SVC-017,SYS-001
SVC-023,SYS-001
SVC-024,SYS-001
SVC-025,SYS-001
SVC-029,SYS-001
SVC-001,SYS-040
SVC-002,SYS-025
SVC-002,SYS-042
SVC-002,SYS-037
SVC-003,SYS-030
SVC-004,SYS-041
SVC-004,SYS-009
SVC-004,SYS-006
SVC-005,SYS-001
SVC-006,SYS-020
SVC-007,SYS-038
SVC-007,SYS-019
SVC-007,SYS-001
SVC-008,SYS-040
SVC-008,SYS-030
SVC-008,SYS-032
SVC-009,SYS-022
SVC-010,SYS-001
SVC-011,SYS-014
SVC-011,SYS-045
SVC-012,SYS-039
SVC-012,SYS-028
SVC-012,SYS-043
SVC-013,SYS-006
SVC-013,SYS-034
SVC-013,SYS-004
SVC-014,SYS-040
SVC-015,SYS-032
SVC-016,SYS-036
SVC-017,SYS-015
SVC-017,SYS-025
SVC-017,SYS-039
SVC-018,SYS-002
SVC-019,SYS-033
SVC-019,SYS-023
SVC-020,SYS-039
SVC-021,SYS-042
SVC-021,SYS-034
SVC-021,SYS-008
SVC-022,SYS-030
SVC-022,SYS-010
SVC-022,SYS-042
SVC-023,SYS-018
SVC-023,SYS-012
SVC-024,SYS-003
SVC-024,SYS-020
SVC-024,SYS-016
SVC-025,SYS-002
SVC-025,SYS-014
SVC-026,SYS-013
SVC-026,SYS-003
SVC-027,SYS-040
SVC-028,SYS-014
SVC-029,SYS-003
SVC-029,SYS-005
SVC-030,SYS-008
SVC-030,SYS-037
SVC-030,SYS-021
