systemId,upstreamSystemId
SYS-004,SYS-003
SYS-003,SYS-002
SYS-002,SYS-001
SYS-006,SYS-001
SYS-009,SYS-001
SYS-013,SYS-001
SYS-014,SYS-001
SYS-016,SYS-001
SYS-019,SYS-001
SYS-027,SYS-001
SYS-036,SYS-001
SYS-042,SYS-001
SYS-005,SYS-004
SYS-005,SYS-003
SYS-007,SYS-002
SYS-008,SYS-004
SYS-010,SYS-009
SYS-010,SYS-002
SYS-011,SYS-002
SYS-012,SYS-002
SYS-012,SYS-010
SYS-013,SYS-009
SYS-013,SYS-003
SYS-015,SYS-007
SYS-017,SYS-004
SYS-018,SYS-010
SYS-019,SYS-014
SYS-020,SYS-001
SYS-021,SYS-005
SYS-023,SYS-004
SYS-023,SYS-016
SYS-025,SYS-021
SYS-026,SYS-020
SYS-027,SYS-017
SYS-027,SYS-005
SYS-029,SYS-021
SYS-030,SYS-019
SYS-030,SYS-022
SYS-031,SYS-004
SYS-031,SYS-007
SYS-032,SYS-005
SYS-033,SYS-019
SYS-033,SYS-001
SYS-034,SYS-001
SYS-036,SYS-021
SYS-037,SYS-012
SYS-038,SYS-015
SYS-040,SYS-007
SYS-041,SYS-034
SYS-041,SYS-016
SYS-042,SYS-006
SYS-043,SYS-016
SYS-044,SYS-033
SYS-044,SYS-023
